
   CPU Index           CPU Name

     011E      -      VAX 4000-500
     011F      -      VAX 4000-500
     0120      -      Unknown VAX 4000-500
     0121      -      VAXft-310
     0122      -      VAXft-110
     0123      -      VAXft-110
     0124      -      VAXft-210
     0125      -      VAXft-210
     0126      -      VAX 6000-610
     0127      -      VAX 6000-620
     0128      -      VAX 6000-630
     0129      -      VAX 6000-640
     012A      -      VAX 6000-650
     012B      -      VAX 6000-660
     012C      -      VAX 6000-670
     012D      -      VAX 6000-680
     012E      -      VAXserver 6000-610
     012F      -      VAXserver 6000-620
     0130      -      VAXserver 6000-630
     0131      -      VAXserver 6000-640
     0132      -      VAXserver 6000-650
     0133      -      VAXserver 6000-660
     0134      -      VAXserver 6000-670
     0135      -      VAXserver 6000-680
     0136      -      Unknown VAX 6000-600 Series
     0137      -      VAX 9000-415
     0138      -      VAX 9000-425
     0139      -      VAX 9000-435
     013A      -      VAX 9000-445
     013B      -      VAX 9000-215
     013C      -      VAX 9000-225
     013D      -      VAX 9000-810
     013E      -      VAX 9000-820
     013F      -      VAX 9000-830
     0140      -      VAX 9000-840
     0141      -      VAX 9000-610
     0142      -      VAX 9000-620
     0143      -      VAXft-410
     0144      -      VAXft-410
     0145      -      VAXft-510
     0146      -      VAXft-510
     0147      -      VAXft-610
     0148      -      VAXft-610
     0149      -      VAXft-612
     014A      -      VAXft-612
     014B      -      VAXft-710
     014C      -      VAXft-710
     014D      -      VAXft-712
     014E      -      VAXft-712
     014F      -      MicroVAX 4000-VLC
     0150      -      VAXserver 4000-VLC
     0151      -      Unknown MicroVAX 4000-VLC
     0152      -      VAXstation 4000-VLC
     0153      -      VAXstation 4000-VLC
     0154      -      Unknown VAXstation 4000-VLC
     0155      -      VAX 9000-110
     0156      -      VAX 9000-120
     0157      -      VAX 9000-310
     0158      -      VAX 9000-320
     0159      -      VAX 9000-330
     015A      -      VAX 9000-340
     015B      -      VAX 9000-115
     015C      -      VAX 9000-125
     015D      -      VAX 9000-315
     015E      -      VAX 9000-325
     015F      -      VAX 9000-335
     0160      -      VAX 9000-345
     0161      -      VAX 9000-510
     0162      -      VAX 9000-520
     0163      -      VAX 9000-710
     0164      -      VAX 9000-720
     0165      -      VAX 9000-730
     0166      -      VAX 9000-740
     0167      -      VAX 7000-610
     0168      -      VAX 7000-620
     0169      -      VAX 7000-630
     016A      -      VAX 7000-640
     016B      -      VAX 7000-650
     016C      -      VAX 7000-660
     016D      -      VAX 7000-670
     016E      -      VAX 7000-680
     016F      -      VAXserver 7000-610
     0170      -      VAXserver 7000-620
     0171      -      VAXserver 7000-630
     0172      -      VAXserver 7000-640
     0173      -      VAXserver 7000-650
     0174      -      VAXserver 7000-660
     0175      -      VAXserver 7000-670
     0176      -      VAXserver 7000-680
     0177      -      Unknown VAX 7000-600 Series
     0178      -      VAXstation 4000-90
     0179      -      VAXstation 4000-90
     017A      -      Unknown VAXstation 4000-90
     017B      -      VAXstation 4000-90
     017C      -      VAXstation 4000-90
     017D      -      Unknown VAXstation 4000-90
     017E      -      MicroVAX 3100-90
     017F      -      MicroVAX 3100-90
     0180      -      Unknown MicroVAX 3100-90
     0181      -      MicroVAX 3100-95
     0182      -      MicroVAX 3100-95
     0183      -      Unknown MicroVAX 3100-95
     0184      -      VAX 4000-100
     0185      -      VAX 4000-100
     0186      -      Unknown VAX 4000-100
     0187      -      VAX 4000-105A
     0188      -      VAX 4000-105A
